trait,k_families,seed,n_train,test_f1
sporulation,5,0,108,0.6772292955216457
sporulation,5,1,26,0.4956987906744795
sporulation,10,0,183,0.42745930644019814
sporulation,10,1,132,0.43046783684825696
sporulation,10,2,144,0.42705382436260625
sporulation,20,0,239,0.6002704862258137
sporulation,20,1,574,0.6537490078667377
sporulation,20,2,669,0.6976442116227062
sporulation,40,0,833,0.7118221439946357
sporulation,40,1,897,0.7966088812231414
sporulation,40,2,1253,0.8338074017888184
sporulation,80,0,1597,0.8354904306220097
sporulation,80,1,1602,0.8226293947224179
sporulation,80,2,1303,0.693882547766164
sporulation,139,0,2473,0.828213824191425
sporulation,139,1,2473,0.828213824191425
sporulation,139,2,2473,0.828213824191425
motility,5,0,33,0.5179650559779777
motility,5,1,71,0.4375426366176056
motility,5,2,65,0.590281708729891
motility,10,0,280,0.580619683874003
motility,10,1,383,0.3766822553149962
motility,10,2,641,0.41309478249776754
motility,20,0,440,0.5085573261518406
motility,20,1,356,0.5206235613947012
motility,20,2,416,0.5391761612620508
motility,40,0,1203,0.5224490533314062
motility,40,1,1114,0.5542923664122137
motility,40,2,1135,0.563459160583596
motility,80,0,2628,0.6137292791679902
motility,80,1,2080,0.604035839980328
motility,80,2,1628,0.5986523760302027
motility,175,0,5196,0.6348588886833683
motility,175,1,5196,0.6348588886833683
motility,175,2,5196,0.6348588886833683
catalase,5,0,205,0.5093990720175423
catalase,5,1,120,0.585776994111916
catalase,5,2,20,0.5442772309728472
catalase,10,0,38,0.65714066574628
catalase,10,1,43,0.6862739698110506
catalase,10,2,262,0.6769638562575155
catalase,20,0,654,0.6244801413340739
catalase,20,1,848,0.5929248820078514
catalase,20,2,1342,0.5900464774560381
catalase,40,0,1706,0.6100868058824638
catalase,40,1,1650,0.6512156657862402
catalase,40,2,1270,0.6716375736743603
catalase,80,0,2723,0.6646418226381461
catalase,80,1,2986,0.6895155271128575
catalase,80,2,2690,0.6874670655158206
catalase,132,0,4712,0.6863365979246062
catalase,132,1,4712,0.6863365979246062
catalase,132,2,4712,0.6863365979246062
