trait,label,auroc,f1,n_pos_train,n_pos_test,n_test
metabolite_production,acetoin,0.5501355412811597,0.5177865612648221,584,239,523
metabolite_production,indole,0.6718537562905544,0.23689320388349513,415,179,1913
metabolite_production,hydrogen sulfide,0.5585169391139541,0.2746478873239437,232,126,662
metabolite_production,nitrite,0.7882352941176471,0.5454545454545454,35,5,22
metabolite_production,dinitrogen,0.6210526315789473,0.0,8,5,24
metabolite_production,lactate,0.42857142857142855,0.8571428571428571,10,7,8
cultivation_medium,65,0.9749219587685073,0.7965941343424787,673,478,3471
cultivation_medium,92,0.891310266591038,0.41411764705882353,723,246,3471
cultivation_medium,9,0.9982111944604731,0.3,30,5,3471
cultivation_medium,693,0.8743548509026934,0.43137254901960786,884,273,3471
cultivation_medium,1,0.8579749898186523,0.37630662020905925,663,260,3471
cultivation_medium,514,0.9268468518177028,0.6476540938362465,562,457,3471
cultivation_medium,830,0.8343030367026567,0.4146118721461187,563,366,3471
cultivation_medium,535,0.7785765568878221,0.33460803059273425,479,322,3471
cultivation_medium,84,0.9672784937024954,0.5747663551401869,255,166,3471
cultivation_medium,220,0.8571875826792487,0.2740899357601713,231,136,3471
cultivation_medium,104,0.9278107895129171,0.45544554455445546,197,141,3471
cultivation_medium,252,0.9378543788461021,0.36947791164658633,120,88,3471
cultivation_medium,381,0.626058316380897,0.046511627906976744,79,30,3471
cultivation_medium,11,0.9875936124313802,0.7682119205298014,166,67,3471
cultivation_medium,553,0.9317734474953253,0.3082191780821918,116,84,3471
cultivation_medium,215,0.6624211054230263,0.08595988538681948,144,62,3471
cultivation_medium,554,0.9405197347928627,0.3062200956937799,82,66,3471
cultivation_medium,645,0.9958703908465939,0.7794117647058824,85,61,3471
cultivation_medium,110,0.9420884752143903,0.23655913978494625,84,56,3471
cultivation_medium,1203,0.9211253271299796,0.18181818181818182,87,32,3471
cultivation_medium,78,0.9457461192216194,0.1686746987951807,108,34,3471
cultivation_medium,545,0.7266329376662126,0.06289308176100629,58,45,3471
cultivation_medium,58,0.9794729932483122,0.6333333333333333,59,31,3471
cultivation_medium,339,0.9134676273768163,0.14754098360655737,72,34,3471
cultivation_medium,987,0.8273370144337886,0.03305785123966942,41,30,3471
cultivation_medium,83,0.8754120612759357,0.1388888888888889,28,33,3471
cultivation_medium,354,0.9778355979570204,0.2222222222222222,20,12,3471
cultivation_medium,457,0.8495007882291119,0.1935483870967742,22,11,3471
cultivation_medium,98,0.978125,0.35555555555555557,42,15,3471
cultivation_medium,31,0.9809511297950605,0.2608695652173913,10,11,3471
cultivation_medium,53,0.903935521347662,0.13333333333333333,40,28,3471
cultivation_medium,1076,0.9999356437236542,0.8780487804878049,26,18,3471
cultivation_medium,429,0.9460395834197751,0.3389830508474576,40,28,3471
cultivation_medium,81,0.7195897139555042,0.06896551724137931,17,10,3471
cultivation_medium,585,0.999664572787705,0.8292682926829268,40,19,3471
cultivation_medium,372,0.9823878536922015,0.4727272727272727,29,21,3471
cultivation_medium,428,0.9264394377046024,0.1935483870967742,16,9,3471
cultivation_medium,1611,0.9657872491880589,0.11428571428571428,18,13,3471
cultivation_medium,426,0.8507204610951009,0.0,4,1,3471
cultivation_medium,63,0.8763609369844936,0.0,15,7,3471
cultivation_medium,214,0.7342368319876971,0.0,10,3,3471
cultivation_medium,27,0.9193116132422491,0.07142857142857142,16,11,3471
cultivation_medium,54,0.606514845776881,0.0,19,2,3471
cultivation_medium,119,0.9469258938036041,0.41379310344827586,10,12,3471
cultivation_medium,141,0.9757272671830213,0.5957446808510638,14,19,3471
cultivation_medium,67,0.8800308107067205,0.10526315789473684,13,9,3471
cultivation_medium,465,0.7650903498654364,0.0,6,3,3471
cultivation_medium,195,0.9480219462893446,0.2727272727272727,18,8,3471
cultivation_medium,641,0.9575267263796592,0.0,14,10,3471
cultivation_medium,464,0.6472698779280764,0.0,11,7,3471
cultivation_medium,1560,0.9904109148244682,0.5777777777777777,17,18,3471
cultivation_medium,621,0.8145658668208537,0.0,7,12,3471
cultivation_medium,907,0.8600115406809001,0.0,11,5,3471
cultivation_medium,28,0.9920946335833815,0.2222222222222222,6,5,3471
